year	page_begin	page_end	note	LOCALISATION
1887	22	56	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1887	60	192	DOCTEURS	DEPARTEMENT ET COLONIES
1887	198	200	OFFICIERS DE SANTÉ	PARIS
1887	206	236	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1888	60	89	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1888	94	96	OFFICIERS DE SANTÉ	PARIS
1888	210	334	DOCTEURS	DEPARTEMENTS ET COLONIES
1888	340	367	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1889	58	88	DOCTEURS EN MÉDECINE ET EN CHIRUIISIE	PARIS
1889	92	94	OFFICIERS DE SANTE ET DENTISTES	PARIS
1889	238	362	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1889	368	395	OFFICIERS DE SANTÉ	DEPARTEMENT ET COLONIES
1890	61	91	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1890	96	98	OFFICIERS DE SANTE ET DENTISTES	PARIS
1890	241	362	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1890	371	397	OFFICIERS DE SANTÉ	DEPARTEMENT ET COLONIES
1891	63	93	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1891	96	98	OFFICIERS DE SANTE ET DENTISTES	PARIS
1891	245	366	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1891	375	401	OFFICIERS DE SANTÉ	DEPARTEMENT ET COLONIES
1892	62	93	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1892	96	98	OFFICIERS DE SANTE ET DENTISTES	PARIS
1892	245	366	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1892	375	401	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1893	61	101	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1893	105	107	OFFICIERS DE SANTE ET DENTISTES	PARIS
1893	273	391	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1893	407	433	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1894	66	107	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1894	110	112	OFFICIERS DE SANTE ET DENTISTES	PARIS
1894	278	397	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1894	412	437	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1895	60	102	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1895	109	111	OFFICIERS DE SANTE ET DENTISTES	PARIS
1895	286	404	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1895	420	443	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1896	59	102	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1896	105	130	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1896	277	398	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1896	409	432	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1897	61	104	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1897	107	124	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1897	277	401	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1897	409	429	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1898	62	107	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1898	110	112	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1898	288	412	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1898	420	437	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1899	53	104	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1899	107	109	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1899	279	403	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1899	411	428	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1900	57	109	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1900	113	115	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1900	291	415	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
